zip_code,asian_ratio,white_ratio,black_ratio,age,income
75433,0.000727,0.970203,0.001090,46.8,27667
01366,0.001642,0.975369,0.007389,51,30729
18214,0.000985,0.990640,0.001478,49.8,26961
57471,0.003361,0.968067,0.000000,47.3,28750
14723,0.001781,0.987533,0.005343,45.8,29375
54771,0.000471,0.987044,0.001178,37.3,25771
62517,0.011494,0.988506,0.000000,39.8,21250
43033,0.006024,0.987952,0.000000,51.2,24688
66754,0.005731,0.936963,0.000000,49.5,24688
54623,0.000979,0.991185,0.000490,45.2,34938
43045,0.001102,0.975758,0.001653,43.6,37206
37028,0.002903,0.901306,0.036284,55.1,33189
16313,0.001217,0.988436,0.004260,48.6,23099
04677,0.005376,0.919355,0.000000,48,25000
54977,0.001409,0.982382,0.014094,46.4,34219
74045,0.005747,0.856322,0.000000,37.3,26932
64870,0.000134,0.911615,0.017503,33.9,26451
52730,0.000411,0.983566,0.000000,43.7,28678
56328,0.012739,0.942675,0.000000,36.1,24038
05748,0.006667,0.923333,0.000000,53.3,22500
64648,0.001264,0.987779,0.000843,25,20417
55732,0.002219,0.966716,0.000740,54.4,27500
21838,0.001853,0.779494,0.176035,51,29221
12151,0.004323,0.976945,0.005764,50.4,40662
77837,0.001588,0.511382,0.399153,39.9,18982
13636,0.009434,0.974843,0.003145,37,27813
05355,0.003881,0.902975,0.015524,48.2,26458
50453,0.005871,0.968689,0.025440,53.3,31888
47345,0.002183,0.961426,0.000000,41.2,29514
38456,0.000514,0.995374,0.000000,24.1,20670
28017,0.004335,0.930636,0.060694,19.7,2499
72687,0.000488,0.970407,0.002276,49.3,19161
16153,0.001245,0.992531,0.000000,50.1,26540
18833,0.001451,0.979681,0.001451,48.3,25925
56176,0.002732,0.965392,0.001821,41.6,30655
17952,0.014925,0.985075,0.000000,51,27000
68739,0.000999,0.990007,0.000333,41.2,31791
59755,0.013889,0.958333,0.000000,60.1,15208
54247,0.001393,0.976787,0.000000,47.9,32079
04625,0.041667,0.958333,0.000000,69.3,33000
68358,0.001520,0.994428,0.000000,37.1,36746
52750,0.005505,0.974312,0.000000,45.2,36477
49839,0.009317,0.984472,0.000000,64.3,17125
56678,0.002686,0.940018,0.002686,46.5,26801
37142,0.001435,0.939742,0.007174,45.4,22703
67490,0.003279,0.966120,0.005464,52.1,22566
54547,0.002012,0.967136,0.002683,58.8,23601
49630,0.002123,0.989384,0.000000,56.5,31367
87036,0.001491,0.960736,0.002485,52.2,16947
99749,0.009119,0.030395,0.000000,25.8,13942
16656,0.002431,0.992707,0.000000,48.5,20811
49636,0.007160,0.937947,0.026253,63.2,40298
54984,0.000966,0.985825,0.002577,55.6,22420
95565,0.003171,0.875264,0.000000,30.1,26595
73944,0.005859,0.714844,0.000000,31.7,26912
23833,0.001206,0.812701,0.180868,46.8,25795
54723,0.002560,0.965017,0.004266,46.3,31274
03836,0.002283,0.987062,0.000000,55.7,25250
52165,0.004329,0.985570,0.000000,50.5,30492
68956,0.002111,0.980296,0.000000,38.9,27193
83272,0.010067,0.989933,0.000000,41.6,30865
30072,0.004762,0.707937,0.249206,48.3,36500
51238,0.002893,0.982642,0.000000,32.7,32961
61862,0.006342,0.955603,0.008457,41.2,37361
97449,0.001348,0.902022,0.022022,58.3,22421
73095,0.001616,0.844911,0.001077,44.6,26656
56060,0.007335,0.904645,0.000000,39.8,26042
77482,0.001319,0.880827,0.074758,44.9,17717
98822,0.001609,0.965684,0.000000,53.6,22527
83543,0.003846,0.924359,0.000000,42.4,28021
05772,0.004545,0.987879,0.000000,52,34464
05463,0.006073,0.963563,0.000000,48.9,31250
77984,0.000759,0.883409,0.066262,46.8,30330
13624,0.000520,0.871599,0.075723,39.5,25644
57002,0.003000,0.955000,0.004000,32.1,35815
40025,0.068182,0.931818,0.000000,50.5,211875
54721,0.002229,0.972511,0.000000,43.4,29762
58573,0.004808,0.977564,0.000000,51.5,22348
69346,0.004808,0.881410,0.004808,49.2,27292
12878,0.004762,0.963492,0.011111,54,27036
50446,0.005758,0.988484,0.000000,50.5,30000
57020,0.001882,0.966123,0.000000,33.4,41682
56172,0.001002,0.984641,0.008347,48.6,29583
62547,0.003745,0.986267,0.004994,38.6,36328
36439,0.003947,0.921053,0.075000,32.4,25119
57259,0.008021,0.978610,0.000000,49.4,32917
12844,0.013514,0.914414,0.036036,51.3,31635
71655,0.000199,0.694956,0.284655,34.9,17841
49220,0.001346,0.978914,0.005384,47.5,27095
39309,0.007092,0.588652,0.385343,22.2,14830
55354,0.001068,0.960826,0.000000,35.2,32468
68875,0.004518,0.978916,0.000000,48.4,25978
59728,0.008287,0.958564,0.000000,48.9,29375
97835,0.009317,0.925466,0.000000,36.2,28571
72519,0.000852,0.894632,0.068446,43.9,19522
56050,0.002063,0.942228,0.050894,47.6,34875
67437,0.002953,0.977362,0.004921,51.7,27279
55926,0.003717,0.986369,0.008674,45.6,31771
68354,0.003074,0.975410,0.000000,46.8,25721
41537,0.000574,0.982215,0.004781,39.5,16994
16922,0.001558,0.976636,0.006750,47.6,23726
16050,0.001975,0.978934,0.010533,43.4,27589
53091,0.001640,0.954073,0.037179,47.2,32551
13332,0.001095,0.959474,0.011683,38,29148
01011,0.001991,0.982084,0.005972,39.9,33173
54832,0.008065,0.981183,0.000000,54.6,19338
12468,0.002660,0.997340,0.000000,57.3,22083
05669,0.004587,0.992355,0.000000,48.6,27885
61316,0.009404,0.978056,0.000000,37.4,31532
49304,0.000745,0.742737,0.157189,54.7,15763
37828,0.002135,0.944484,0.007117,49.5,38556
59823,0.001440,0.909789,0.000000,40,22775
65347,0.004815,0.950241,0.044944,43.4,21350
55036,0.030928,0.969072,0.000000,49.5,16875
38342,0.001961,0.940523,0.050980,37.6,18312
76351,0.001619,0.951430,0.037777,37.9,30158
49812,0.003382,0.966178,0.005637,49.6,22386
23839,0.003876,0.620155,0.324289,49.3,29313
69334,0.001455,0.943259,0.005820,43.4,25274
12919,0.000968,0.971595,0.001291,41.2,22625
54498,0.001196,0.978070,0.004386,35.3,24144
51564,0.007299,0.970803,0.000000,53.2,28958
56237,0.005941,0.926733,0.015842,43.9,25625
53178,0.001068,0.973310,0.001068,49.2,31569
54124,0.000868,0.886863,0.004051,49,25734
63532,0.002227,0.960653,0.016333,46.1,21791
04666,0.002513,0.912898,0.000000,53,23848
76524,0.000893,0.871986,0.117595,33.4,26689
49917,0.011765,0.972549,0.000000,40.2,18800
93673,0.003597,0.911271,0.000000,29.4,13287
55074,0.001259,0.968514,0.001679,35.1,32432
97324,0.002364,0.962963,0.002364,49.1,27375
74428,0.002080,0.828017,0.003467,39.7,28949
08311,0.001348,0.735400,0.137916,37.1,21592
93254,0.004792,0.875399,0.009585,32.2,21250
39825,0.002740,0.815525,0.169863,44.6,24556
58324,0.002212,0.919617,0.000000,49.1,31844
54658,0.001225,0.972222,0.000000,47.6,31285
98938,0.000837,0.934692,0.000000,23.4,21729
14555,0.002669,0.974199,0.007117,53.4,31821
21677,0.007853,0.879581,0.047120,68.2,25391
59434,0.004894,0.484502,0.000000,38.7,25000
67438,0.009585,0.980831,0.003195,36.6,28250
66868,0.003886,0.958549,0.000000,39.8,32500
68467,0.000316,0.946237,0.014759,39,25344
16878,0.001743,0.998257,0.000000,49.5,25000
19967,0.002443,0.982899,0.000000,51,38528
56650,0.004231,0.901269,0.000000,45.4,23077
57448,0.007389,0.990148,0.000000,49.9,23958
78643,0.000508,0.865616,0.004237,50.1,24073
50235,0.007407,0.980247,0.004938,48.2,27969
52345,0.002027,0.977027,0.009459,35.1,36597
68945,0.010989,0.989011,0.000000,35.6,47083
05773,0.001376,0.992202,0.000000,49.4,28424
73832,0.002830,0.886792,0.000000,44.8,24732
68957,0.005042,0.983193,0.000000,54.4,22857
68662,0.002306,0.978478,0.000000,47.3,30250
11939,0.003390,0.941243,0.006780,61,38810
12937,0.001531,0.709184,0.047959,36.4,24668
30139,0.000733,0.948230,0.014408,38.9,20044
89822,0.001265,0.931674,0.019823,38.2,32447
74901,0.001614,0.790748,0.006993,43.4,18029
95323,0.002629,0.861525,0.000000,35.7,27857
27820,0.001155,0.619707,0.366821,47.2,21126
50271,0.004959,0.938843,0.009917,37.5,30341
55084,0.001894,0.962753,0.001894,41.6,30239
61864,0.001767,0.991755,0.000000,41.5,37863
54921,0.002582,0.908778,0.000000,43.4,26645
54015,0.000848,0.991801,0.002262,36,41215
73129,0.000157,0.634906,0.141405,30.6,19495
55909,0.002134,0.985064,0.009957,47.3,29719
99554,0.004082,0.044898,0.000000,20.7,8864
76433,0.001982,0.989432,0.000000,49.4,35635
68972,0.033708,0.966292,0.000000,60.8,22917
12446,0.000611,0.900488,0.028083,46.5,26113
54405,0.001024,0.922211,0.001365,38.4,25592
14871,0.000584,0.928530,0.055307,45.9,36010
76255,0.000559,0.942820,0.003353,44.8,20421
16646,0.001265,0.995361,0.000000,46.5,26739
56554,0.001094,0.972283,0.000729,45.4,33256
51246,0.000905,0.989144,0.001206,39,31842
54930,0.001869,0.957632,0.006231,47.3,25341
57548,0.001974,0.037500,0.001316,24.4,14412
12496,0.002086,0.991655,0.000000,58.3,23904
96091,0.004225,0.892958,0.000000,56.2,21287
55041,0.000385,0.980087,0.007965,49.5,31410
76653,0.003326,0.900222,0.044346,47.8,24215
62963,0.005093,0.448217,0.534805,37.4,16458
54670,0.001542,0.947585,0.001542,28.3,31289
63107,0.000293,0.118285,0.867845,38.1,14959
72386,0.001597,0.874334,0.093184,39.6,18792
15148,0.001074,0.696275,0.217049,35,20760
47967,0.004739,0.985782,0.009479,45.9,22271
89820,0.000539,0.885452,0.000539,36.3,37250
99602,0.014851,0.024752,0.000000,33.5,11146
93207,0.011152,0.933086,0.000000,58,16528
24315,0.000804,0.915082,0.079829,42.2,23917
59344,0.007557,0.992443,0.000000,46.6,26328
14109,0.002597,0.858874,0.047619,19.4,3466
62465,0.003006,0.988978,0.000000,36.8,32721
43504,0.002387,0.984885,0.003978,46,30952
05660,0.001684,0.947811,0.000000,45.9,39825
18655,0.000518,0.985497,0.002590,46.6,27726
91905,0.001963,0.840314,0.070681,62.4,21480
16720,0.002582,0.987091,0.000000,53.2,23632
74965,0.000619,0.522483,0.002063,38.4,20016
14860,0.002553,0.989787,0.000000,47.4,28566
27872,0.007916,0.332454,0.583113,57.5,16466
05070,0.005792,0.926641,0.048263,59.5,41167
20839,0.030000,0.920000,0.050000,16.8,159063
56138,0.003375,0.973003,0.014623,46.4,31012
42406,0.000854,0.957005,0.031036,36.8,30573
61333,0.009524,0.977778,0.000000,39.8,42574
03448,0.004202,0.956583,0.011204,49.1,27969
68833,0.007042,0.976526,0.000000,46.1,26364
93461,0.001942,0.951456,0.022006,35.4,22276
86504,0.000429,0.029139,0.023568,34.2,18785
16240,0.002262,0.965309,0.007541,47.1,24479
54855,0.003282,0.978118,0.002188,27.6,24828
61488,0.002959,0.963511,0.001972,51.1,27643
05653,0.007519,0.987469,0.000000,35.2,28839
76486,0.002885,0.931731,0.000000,53.4,31705
49305,0.001481,0.950617,0.005926,51,20438
55936,0.001660,0.966242,0.015495,38.6,32256
64725,0.001157,0.925183,0.033166,39.8,30107
48749,0.003215,0.986066,0.004287,52.8,22563
89835,0.001433,0.858166,0.016714,33.3,28919
74944,0.002768,0.680812,0.001845,39.5,19781
